Source,Target,Type,Weight
4,17,non dirigé,3
4,1,non dirigé,38
4,27,non dirigé,97
4,31,non dirigé,77
4,28,non dirigé,61
4,18,non dirigé,2
4,3,non dirigé,9
4,5,non dirigé,25
4,10,non dirigé,30
4,6,non dirigé,2
4,23,non dirigé,42
4,16,non dirigé,8
4,13,non dirigé,4
4,11,non dirigé,59
4,25,non dirigé,151
4,20,non dirigé,20
4,21,non dirigé,4
4,19,non dirigé,4
4,22,non dirigé,40
4,12,non dirigé,7
4,24,non dirigé,6
4,30,non dirigé,2
4,33,non dirigé,5
4,8,non dirigé,2
4,15,non dirigé,17
4,14,non dirigé,24
17,1,non dirigé,1
17,5,non dirigé,1
17,25,non dirigé,4
1,27,non dirigé,116
1,31,non dirigé,49
1,28,non dirigé,18
1,18,non dirigé,20
1,3,non dirigé,38
1,5,non dirigé,54
1,10,non dirigé,73
1,6,non dirigé,1
1,15,non dirigé,1
1,23,non dirigé,34
1,16,non dirigé,18
1,11,non dirigé,7
1,25,non dirigé,31
1,20,non dirigé,12
1,22,non dirigé,22
1,12,non dirigé,80
1,24,non dirigé,13
1,30,non dirigé,5
1,33,non dirigé,18
1,32,non dirigé,1
1,15,non dirigé,23
1,14,non dirigé,1
1,26,non dirigé,9
27,31,non dirigé,342
27,28,non dirigé,99
27,18,non dirigé,90
27,3,non dirigé,14
27,2,non dirigé,1
27,5,non dirigé,21
27,10,non dirigé,90
27,6,non dirigé,1
27,23,non dirigé,84
27,16,non dirigé,9
27,13,non dirigé,1
27,11,non dirigé,10
27,25,non dirigé,41
27,20,non dirigé,50
27,22,non dirigé,215
27,12,non dirigé,97
27,24,non dirigé,20
27,30,non dirigé,1
27,33,non dirigé,4
27,8,non dirigé,8
27,15,non dirigé,148
27,14,non dirigé,8
31,28,non dirigé,89
31,18,non dirigé,25
31,3,non dirigé,2
31,10,non dirigé,6
31,23,non dirigé,86
31,16,non dirigé,2
31,13,non dirigé,1
31,11,non dirigé,7
31,25,non dirigé,34
31,20,non dirigé,31
31,21,non dirigé,1
31,19,non dirigé,1
31,22,non dirigé,167
31,12,non dirigé,28
31,15,non dirigé,30
31,14,non dirigé,7
28,18,non dirigé,15
28,3,non dirigé,20
28,5,non dirigé,2
28,10,non dirigé,3
28,23,non dirigé,44
28,16,non dirigé,4
28,7,non dirigé,1
28,25,non dirigé,64
28,20,non dirigé,36
28,22,non dirigé,45
28,8,non dirigé,4
28,15,non dirigé,8
28,14,non dirigé,30
18,3,non dirigé,5
18,5,non dirigé,2
18,10,non dirigé,5
18,23,non dirigé,11
18,25,non dirigé,3
18,20,non dirigé,18
18,22,non dirigé,21
18,12,non dirigé,18
18,8,non dirigé,4
18,15,non dirigé,10
18,14,non dirigé,1
3,5,non dirigé,57
3,10,non dirigé,66
3,6,non dirigé,5
3,15,non dirigé,1
3,23,non dirigé,14
3,16,non dirigé,30
3,11,non dirigé,1
3,25,non dirigé,37
3,20,non dirigé,4
3,12,non dirigé,5
3,24,non dirigé,16
3,30,non dirigé,1
3,33,non dirigé,2
3,8,non dirigé,2
3,15,non dirigé,15
5,10,non dirigé,101
5,6,non dirigé,11
5,15,non dirigé,1
5,23,non dirigé,13
5,16,non dirigé,17
5,25,non dirigé,36
5,20,non dirigé,5
5,22,non dirigé,1
5,12,non dirigé,9
5,24,non dirigé,18
5,33,non dirigé,14
5,15,non dirigé,8
10,6,non dirigé,13
10,15,non dirigé,1
10,23,non dirigé,40
10,16,non dirigé,61
10,25,non dirigé,47
10,20,non dirigé,22
10,22,non dirigé,5
10,12,non dirigé,4
10,24,non dirigé,240
10,30,non dirigé,2
10,33,non dirigé,36
10,8,non dirigé,26
10,15,non dirigé,213
6,23,non dirigé,3
6,16,non dirigé,1
6,24,non dirigé,2
6,8,non dirigé,1
6,15,non dirigé,4
15,15,non dirigé,1
23,16,non dirigé,27
23,29,non dirigé,1
23,25,non dirigé,31
23,20,non dirigé,18
23,22,non dirigé,34
23,12,non dirigé,3
23,24,non dirigé,5
23,30,non dirigé,3
23,33,non dirigé,6
23,8,non dirigé,1
23,32,non dirigé,7
23,15,non dirigé,30
23,26,non dirigé,6
16,7,non dirigé,2
16,29,non dirigé,4
16,25,non dirigé,30
16,20,non dirigé,7
16,12,non dirigé,3
16,24,non dirigé,25
16,30,non dirigé,2
16,33,non dirigé,5
16,8,non dirigé,1
16,32,non dirigé,69
16,15,non dirigé,35
16,26,non dirigé,26
7,25,non dirigé,4
29,32,non dirigé,2
13,22,non dirigé,3
13,14,non dirigé,2
11,25,non dirigé,22
11,22,non dirigé,5
25,20,non dirigé,8
25,22,non dirigé,22
25,12,non dirigé,3
25,24,non dirigé,8
25,33,non dirigé,3
25,32,non dirigé,6
25,15,non dirigé,4
25,14,non dirigé,9
25,26,non dirigé,1
20,22,non dirigé,12
20,12,non dirigé,6
20,24,non dirigé,2
20,8,non dirigé,12
20,32,non dirigé,4
20,15,non dirigé,21
20,14,non dirigé,2
20,26,non dirigé,6
21,19,non dirigé,1
22,12,non dirigé,18
22,15,non dirigé,14
22,14,non dirigé,7
12,15,non dirigé,6
12,14,non dirigé,6
12,26,non dirigé,1
24,33,non dirigé,12
24,8,non dirigé,2
24,15,non dirigé,69
30,33,non dirigé,9
33,8,non dirigé,44
33,15,non dirigé,67
33,26,non dirigé,1
8,15,non dirigé,159
32,26,non dirigé,9
