ID,Label,Count
1,Coronel Aureliano Buendía,219
2,Los Diecisiete Aurelianos,1
3,Santa Sofía De La Piedad,58
4,José Arcadio Buendía,176
5,José Arcadio Segundo,84
6,Fernanda Del Carpio,5
7,Aureliano Babilonia,1
8,Mauricio Babilonia,29
9,Remedios La Bella,55
10,Aureliano Segundo,209
11,Prudencio Aguilar,22
12,Gerineldo Márquez,71
13,Remedios Moscote,2
14,Apolinar Moscote,33
15,Renata Remedios,108
16,Amaranta Úrsula,86
17,Úrsula Iguarán,3
18,Aureliano José,37
19,Rebeca Montiel,1
20,Pilar Ternera,56
21,Nicanor Ulloa,1
22,Pietro Crespi,66
23,José Arcadio,131
24,Petra Cotes,70
25,Melquíades,104
26,Nigromanta,14
27,Amaranta,224
28,Arcadio,91
29,Rodrigo,2
30,Mr.Herbert,7
31,Rebeca,128
32,Gastón,30
33,Mr.Brown,25
